District Code,Tehsil Code,Village Code,Village Name
137,00731,118327,लुहारी खादर
137,00731,118280,लुहारी भूड़
137,00731,118428,शकरौली
137,00731,118311,शरीफपुर शर्की
137,00731,118218,शहवाजपुर डोर
137,00731,118527,शहवाजपुर ढोला
137,00731,118438,शहावाजपुर गूजर ऐ.
137,00731,118439,शहावाजपुर गूजर मु.
137,00731,118261,शाहपुर उर्फ भूतखदेडी
137,00731,118345,शाहपुर कलां
137,00731,118366,शाहपुर डूगर
137,00731,118239,शाहपुर मजरा
137,00731,118395,शेखुपुरा शर्की
137,00731,118341,शेखूपुर झकड़ी
137,00731,118249,शेरगढ़
137,00731,118403,सकतपुर करनपुर
137,00731,118322,सतेड़ा ऐ.
137,00731,118390,सब्दलपुर शर्की
137,00731,118281,सब्दलपुर शुमाली
137,00731,118518,समस्तपुर जनूवी
137,00731,118265,सरकड़ा खुर्द मु.
137,00731,118409,सरकड़ा जनूबी
137,00731,118396,सराय ओझी
137,00731,118315,सराय मझरा
137,00731,118559,सलारा
137,00731,118418,सहदरा मिलक
137,00731,217898,सहेरिया
137,00731,118515,सहेलिया
137,00731,118220,सादुल्लापुर
137,00731,118507,सांथलपुर
137,00731,217901,सांपा
137,00731,118522,सिकन्दरपुर झब्बू
137,00731,118529,सिकन्दराबाद
137,00731,118506,सिमथला
137,00731,118547,सिरसा कलां ऐ.ज.मु.
137,00731,118548,सिरसा कलां ऐ.सा.
137,00731,118432,सिरसा गूजर ऐ.
137,00731,118430,सिरसा गूजर मु.
137,00731,118232,सिहाली जागीर
137,00731,118417,सीकरी भूड़
137,00731,118525,सीतला सराबा
137,00731,118402,सुतारी
137,00731,118465,सुतावली
137,00731,118225,सुल्तानठेर मौ.पुर
137,00731,118408,सुल्तानपुर भीमा
137,00731,118223,सुल्तानपुर मौलवी
137,00731,118351,सुल्तानपुर वीरान
137,00731,118540,सूबरा
137,00731,118375,सूमाठेर
137,00731,118236,सेमला
137,00731,118388,सैदनगली
137,00731,118328,सोहरका
137,00731,118363,सौहत
137,00731,118487,हकीमपुर ए.
137,00731,118306,हरयाना
137,00731,118274,हलीमपुर
137,00731,217903,हसन पुर अन्दर चुंगी
137,00731,217909,हसन पुर वाहर चुंगी
137,00731,118557,हसनपुर सा.ऐ.
137,00731,118556,हसनपुर सा.मु.
137,00731,118446,हाकमपुर
137,00731,118560,हाजीपुर खादर
137,00731,118262,हाजीपुर भूड़
137,00731,118254,हाफिजपुर
137,00731,118456,हिरनौटा
137,00731,118369,हीस खेडा
137,00731,118394,हुसैनपुर
137,00731,118486,हैदरपुर ऐ.
137,00731,118485,हैदरपुर मु.ज.ऐ.
137,00731,118353,हैवतपुर बंजारा
162,01026,148687,अकवरपुर
162,01026,148508,अजुआपुर
162,01026,148499,अटसू
162,01026,148525,अब्दुल्लापुर
162,01026,148486,अमावता
162,01026,148714,अयाना
162,01026,148542,अलीपुर
162,01026,148695,अस्योटामुस्तकिल
162,01026,148738,अंतौल
162,01026,148490,आदमपुर
162,01026,217809,आलम गीरपुर
162,01026,148688,इकवालपुर
162,01026,148368,उम्मरपुर
162,01026,148536,ऊँचा
162,01026,148541,ऐमापैगम्बरपुर
162,01026,148691,ऐमा सेंगनपुर
162,01026,148516,ऐलचीनगर
162,01026,148519,ककरहिया
162,01026,148715,कटघरा जुन्नारदार
162,01026,148716,कटघरा वृहमनान
162,01026,148446,कमालपुर
162,01026,148727,कस्बा जाना
162,01026,148473,कस्बा बाबरपुर
162,01026,148689,कस्बा सेंगनपुर
162,01026,148735,कुंवरदेपुर
162,01026,148734,केशीपुर
162,01026,148464,खुखूपुर
162,01026,148477,गढ़ौना
162,01026,148732,गागनपुर
162,01026,148492,गाजीपुर भवानी प्रसाद
162,01026,148705,गूँज मुस्तकिल
162,01026,148530,गोकुलपुर
162,01026,148482,गौहानी कलां मुस्तकिल
162,01026,148455,गंगदासपुर
162,01026,148694,चकरानी पोखर
162,01026,148489,चकसत्तापुर
162,01026,148459,चकसराय अनन्तराम
162,01026,148549,चदनापुरदयालसिंह
162,01026,148547,चपटा
162,01026,148457,चाँदूपुर
162,01026,148491,चिटकापुर
162,01026,148520,चॉद पुर
162,01026,148551,जगतपुर
162,01026,148523,जगदीशपुर
162,01026,148465,जगनपुर
162,01026,148471,जगन्नाथपुर
162,01026,148447,जदुवंशपुर
162,01026,148543,जलूपुर
162,01026,148731,जसवन्तपुर
162,01026,148479,जाजपुर
162,01026,217817,जानिशनगर
162,01026,148728,टकपुरा
162,01026,148517,टडवाबिकू
162,01026,148704,ततारपुरकलामुस्तकिल
162,01026,148544,ततारपुर खुर्द
162,01026,148701,तिवरलालपुर
162,01026,148552,तुर्कीपुरभगवानदास
162,01026,148445,दरबटपुर
162,01026,148526,दलेलनगर
162,01026,148461,दहियापुर
162,01026,148498,दुर्वासपुर
162,01026,148700,धनऊपुर
162,01026,148709,नगला बनारस मुस्तकिल
162,01026,148717,नवादा ज्वाला प्रसाद
162,01026,148702,नवादा महीपतशाह
162,01026,148495,न्यामतपुर
162,01026,148485,पचदेवरा
162,01026,148538,पट्टीदेवी
162,01026,148546,पट्टी नाम
162,01026,148744,पडरिया
162,01026,148481,पहाड़पुर मुस्तकिल
162,01026,148548,पुर्वा डोरी
162,01026,148524,पूठा.
162,01026,148752,प्यागपुर
162,01026,148463,फूलपुर
162,01026,148703,बरदौलीमुस्तकिल
162,01026,148707,बरबटपुर मुस्तकिल
162,01026,217830,बरुआई
162,01026,148511,बल्लापुर
162,01026,148535,बहादुरपुर ऊॅ चा
162,01026,148510,बीघेपुर
162,01026,148514,बीसल पुर
162,01026,148496,बेरीधनकर
162,01026,148450,भदसान
162,01026,148711,भरतौल मुस्‍तकिल
162,01026,148527,भीखेपुर औरैया
162,01026,148469,भूरेपुरकला मुस्तकिल
162,01026,148713,भूरेपुर खुर्द
162,01026,148733,भौंतापुर
162,01026,148729,मन्सुखपुर
162,01026,148487,मलगवां मुस्तकिल
162,01026,148460,महमूदपुर पैगूपुर
162,01026,148708,महेवा मुस्तकिल
